step,mean_vulnerable,mean_constant
373,511.4461683772487,511.03296712228826
374,510.91911136164777,510.611382226835
375,511.621210417026,508.46289504368167
376,510.6394574509008,509.7141371001868
377,510.8353349400911,510.550311227837
378,514.3775763162851,510.68615409081673
379,512.7517854818606,512.0221798544799
380,510.85844883367866,510.79687481938316
381,510.3416991554808,510.4779931486101
382,509.6025129795081,512.2789134051498
383,510.8298754539916,509.91340596200763
384,510.35509203063225,510.51262776941
385,510.7707293912387,511.7623668470508
386,510.7236620966478,509.6259681348809
387,512.1150235990478,512.6416673759456
388,512.9687742624169,512.7700577929542
389,512.1453643075118,512.6510895970117
390,511.4798354017499,510.5930891552091
391,511.6390697167229,509.9903171863944
392,511.71965242357993,511.777405724727
393,512.6494458550262,514.0536084909652
394,510.996276520168,511.1643687941003
395,510.375660451936,510.72676006560795
396,511.7512658214819,510.49847204963737
397,513.3730518490152,509.8584444152013
398,511.9612491665554,510.31439769626166
399,511.86120856901357,510.7924953520102
400,512.1541080679465,510.67758626276753
401,509.98001703415144,509.53053603590223
402,511.8942200648932,511.7925315879037
403,511.41897945916435,511.3520775346238
404,511.02811437107465,511.0386876499193
405,513.0209751934607,512.3406043567835
406,512.1374813165256,512.1618712857636
407,510.5643865632424,510.7737942713152
408,510.2481539772461,509.3088880208055
409,513.1301592738481,510.154447297927
410,510.05769607198124,511.85617863279776
411,509.7510259998085,511.1596683635348
412,513.8606945519075,512.0493511679509
413,513.2652458230065,513.4464913075188
414,510.812798795914,511.97535566867737
415,512.316009837479,510.0315653902595
416,509.8883863903197,512.4057482621226
417,510.6703082183513,510.88309250344156
418,512.129899577854,511.67566760080655
419,511.22973599049146,512.0294097913799
420,511.1804158555499,512.005114971601
421,511.302123039255,513.096668134545
422,512.0081247470715,507.963209177592
423,510.99304127065716,511.3706714379153
424,510.37490818157033,511.7176643868307
425,511.74187496976094,509.3045441157033
426,510.9418495970562,511.60028393384187
427,511.4382209277223,511.396760430028
428,511.0871785990072,510.58865021344263
429,511.7492701754889,510.7170758988299
430,510.7002623484202,510.92466720940274
431,511.2341908164917,511.65566309600604
432,511.49169254997764,512.7380738520835
433,511.4150317390754,509.28654717154046
434,511.804800307466,510.03345979187463
435,512.0669154260323,510.40309228484017
436,510.8858791455541,510.91000139980304
437,511.6658695494726,511.29290326008396
438,512.0483970431646,510.20499416554577
439,513.4882612302071,511.07829789955315
440,514.4971921448083,512.0214395226649
441,510.0944718392402,512.1871076806659
442,508.67018442733445,510.19033605511214
443,510.32727070425193,508.7449646915676
444,509.47667957898966,508.9342658581084
445,511.60564546586266,508.3059179420875
